sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2
49-B	49-B	1	49-B_S247_L001_R1_001.fastq.gz	49-B_S247_L001_R2_001.fastq.gz	8568	8568
49-C	49-C	1	49-C_S437_L001_R1_001.fastq.gz	49-C_S437_L001_R2_001.fastq.gz	34868	34868
5-A	5-A	1	5-A_S5_L001_R1_001.fastq.gz	5-A_S5_L001_R2_001.fastq.gz	32091	32091
5-B	5-B	1	5-B_S195_L001_R1_001.fastq.gz	5-B_S195_L001_R2_001.fastq.gz	28768	28768
5-C	5-C	1	5-C_S385_L001_R1_001.fastq.gz	5-C_S385_L001_R2_001.fastq.gz	49893	49893
50-A	50-A	1	50-A_S58_L001_R1_001.fastq.gz	50-A_S58_L001_R2_001.fastq.gz	6745	6745
50-B	50-B	1	50-B_S248_L001_R1_001.fastq.gz	50-B_S248_L001_R2_001.fastq.gz	4591	4591
50-C	50-C	1	50-C_S438_L001_R1_001.fastq.gz	50-C_S438_L001_R2_001.fastq.gz	3928	3928
51-A	51-A	1	51-A_S59_L001_R1_001.fastq.gz	51-A_S59_L001_R2_001.fastq.gz	17779	17779
51-B	51-B	1	51-B_S249_L001_R1_001.fastq.gz	51-B_S249_L001_R2_001.fastq.gz	20225	20225
51-C	51-C	1	51-C_S439_L001_R1_001.fastq.gz	51-C_S439_L001_R2_001.fastq.gz	30881	30881
52-A	52-A	1	52-A_S60_L001_R1_001.fastq.gz	52-A_S60_L001_R2_001.fastq.gz	29443	29443
52-B	52-B	1	52-B_S250_L001_R1_001.fastq.gz	52-B_S250_L001_R2_001.fastq.gz	11409	11409
52-C	52-C	1	52-C_S440_L001_R1_001.fastq.gz	52-C_S440_L001_R2_001.fastq.gz	52047	52047
53-A	53-A	1	53-A_S61_L001_R1_001.fastq.gz	53-A_S61_L001_R2_001.fastq.gz	23903	23903
53-B	53-B	1	53-B_S251_L001_R1_001.fastq.gz	53-B_S251_L001_R2_001.fastq.gz	13514	13514
53-C	53-C	1	53-C_S441_L001_R1_001.fastq.gz	53-C_S441_L001_R2_001.fastq.gz	27135	27135
54-A	54-A	1	54-A_S62_L001_R1_001.fastq.gz	54-A_S62_L001_R2_001.fastq.gz	56273	56273
54-B	54-B	1	54-B_S252_L001_R1_001.fastq.gz	54-B_S252_L001_R2_001.fastq.gz	25797	25797
54-C	54-C	1	54-C_S442_L001_R1_001.fastq.gz	54-C_S442_L001_R2_001.fastq.gz	20412	20412
55-A	55-A	1	55-A_S63_L001_R1_001.fastq.gz	55-A_S63_L001_R2_001.fastq.gz	41720	41720
55-B	55-B	1	55-B_S253_L001_R1_001.fastq.gz	55-B_S253_L001_R2_001.fastq.gz	19649	19649
55-C	55-C	1	55-C_S443_L001_R1_001.fastq.gz	55-C_S443_L001_R2_001.fastq.gz	17344	17344
56-A	56-A	1	56-A_S64_L001_R1_001.fastq.gz	56-A_S64_L001_R2_001.fastq.gz	37605	37605
56-B	56-B	1	56-B_S254_L001_R1_001.fastq.gz	56-B_S254_L001_R2_001.fastq.gz	30322	30322
56-C	56-C	1	56-C_S444_L001_R1_001.fastq.gz	56-C_S444_L001_R2_001.fastq.gz	33400	33400
57-A	57-A	1	57-A_S65_L001_R1_001.fastq.gz	57-A_S65_L001_R2_001.fastq.gz	3316	3316
